"naam"	"naam_clean"
"Lactobacillus mindensis"	"Lactobacillus mindensis"
"Lactobacillus mucosae"	"Lactobacillus mucosae"
"Lactobacillus murinus"	"Lactobacillus murinus"
"Lactobacillus nagelii"	"Lactobacillus nagelii"
"Lactobacillus nantensis"	"Lactobacillus nantensis"
"Lactobacillus nodensis"	"Lactobacillus nodensis"
"Lactobacillus oeni"	"Lactobacillus oeni"
"Lactobacillus oligofermentans"	"Lactobacillus oligofermentans"
"Lactobacillus oris"	"Lactobacillus oris"
"Lactobacillus otakiensis"	"Lactobacillus otakiensis"
"Lactobacillus panis"	"Lactobacillus panis"
"Lactobacillus pantheris"	"Lactobacillus pantheris"
"Lactobacillus parabuchneri"	"Lactobacillus parabuchneri"
"Lactobacillus paracasei"	"Lactobacillus paracasei"
"Lactobacillus paracollinoides"	"Lactobacillus paracollinoides"
"Lactobacillus parakefiri"	"Lactobacillus parakefiri"
"Lactobacillus paralimentarius"	"Lactobacillus paralimentarius"
"Lactobacillus paraplantarum"	"Lactobacillus paraplantarum"
"Lactobacillus paucivorans"	"Lactobacillus paucivorans"
"Lactobacillus pentosus"	"Lactobacillus pentosus"
"Lactobacillus perolens"	"Lactobacillus perolens"
"Lactobacillus plantarum"	"Lactobacillus plantarum"
"Lactobacillus pobuzihii"	"Lactobacillus pobuzihii"
"Lactobacillus pontis"	"Lactobacillus pontis"
"Lactobacillus psittaci"	"Lactobacillus psittaci"
"Lactobacillus rapi"	"Lactobacillus rapi"
"Lactobacillus rennini"	"Lactobacillus rennini"
"Lactobacillus reuteri"	"Lactobacillus reuteri"
"Lactobacillus rhamnosus"	"Lactobacillus rhamnosus"
"Lactobacillus rodentium"	"Lactobacillus rodentium"
"Lactobacillus rossiae"	"Lactobacillus rossiae"
"Lactobacillus ruminis"	"Lactobacillus ruminis"
"Lactobacillus saerimneri"	"Lactobacillus saerimneri"
"Lactobacillus sakei"	"Lactobacillus sakei"
"Lactobacillus salivarius"	"Lactobacillus salivarius"
"Lactobacillus sanfranciscensis"	"Lactobacillus sanfranciscensis"
"Lactobacillus satsumensis"	"Lactobacillus satsumensis"
"Lactobacillus sharpeae"	"Lactobacillus sharpeae"
"Lactobacillus siliginis"	"Lactobacillus siliginis"
"Lactobacillus similis"	"Lactobacillus similis"
"Lactobacillus sp"	"Lactobacillus sp"
"Lactobacillus spicheri"	"Lactobacillus spicheri"
"Lactobacillus suebicus"	"Lactobacillus suebicus"
"Lactobacillus sunkii"	"Lactobacillus sunkii"
"Lactobacillus tucceti"	"Lactobacillus tucceti"
"Lactobacillus ultunensis"	"Lactobacillus ultunensis"
"Lactobacillus vaccinostercus"	"Lactobacillus vaccinostercus"
"Lactobacillus vaginalis"	"Lactobacillus vaginalis"
"Lactobacillus versmoldensis"	"Lactobacillus versmoldensis"
"Lactobacillus vini"	"Lactobacillus vini"
"Lactobacillus zeae"	"Lactobacillus zeae"
"Lactobacillus zymae"	"Lactobacillus zymae"
"Lactococcus garvieae"	"Lactococcus garvieae"
"Lactococcus lactis"	"Lactococcus lactis"
"Lactococcus laudensis"	"Lactococcus laudensis"
"Lactococcus piscium"	"Lactococcus piscium"
"Lactococcus plantarum"	"Lactococcus plantarum"
"Lactococcus raffinolactis"	"Lactococcus raffinolactis"
"Lactococcus sp"	"Lactococcus sp"
"Lactonifactor longoviformis"	"Lactonifactor longoviformis"
"Laribacter hongkongensis"	"Laribacter hongkongensis"
"Lasiodiplodia sp"	"Lasiodiplodia sp"
"Lautropia mirabilis"	"Lautropia mirabilis"
"Lechevalieria flava"	"Lechevalieria flava"
"Leclercia adecarboxylata"	"Leclercia adecarboxylata"
"Legionella anisa"	"Legionella anisa"
"Legionella beliardensis"	"Legionella beliardensis"
"Legionella birminghamensis"	"Legionella birminghamensis"
"Legionella brunensis"	"Legionella brunensis"
"Legionella busanensis"	"Legionella busanensis"
"Legionella cherrii"	"Legionella cherrii"
"Legionella cincinnatiensis"	"Legionella cincinnatiensis"
"Legionella dresdenensis"	"Legionella dresdenensis"
"Legionella erythra"	"Legionella erythra"
"Legionella feeleii"	"Legionella feeleii"
"Legionella geestiana"	"Legionella geestiana"
"Legionella gratiana"	"Legionella gratiana"
"Legionella hackeliae"	"Legionella hackeliae"
"Legionella impletisoli"	"Legionella impletisoli"
"Legionella israelensis"	"Legionella israelensis"
"Legionella jamestowniensis"	"Legionella jamestowniensis"
"Legionella jordanis"	"Legionella jordanis"
"Legionella lansingensis"	"Legionella lansingensis"
"Legionella longbeachae"	"Legionella longbeachae"
"Legionella moravica"	"Legionella moravica"
"Legionella oakridgensis"	"Legionella oakridgensis"
"Legionella parisiensis"	"Legionella parisiensis"
"Legionella pneumophila"	"Legionella pneumophila"
"Legionella rubrilucens"	"Legionella rubrilucens"
"Legionella sainthelensi"	"Legionella sainthelensi"
"Legionella santicrucis"	"Legionella santicrucis"
"Legionella sp"	"Legionella sp"
"Legionella tucsonensis"	"Legionella tucsonensis"
"Legionella wadsworthii"	"Legionella wadsworthii"
"Legionella waltersii"	"Legionella waltersii"
"Legionella worsleiensis"	"Legionella worsleiensis"
"Legionella yabuuchiae"	"Legionella yabuuchiae"
"Leifsonia aquatica"	"Leifsonia aquatica"
"Leifsonia shinshuensis"	"Leifsonia shinshuensis"
"Leifsonia soli"	"Leifsonia soli"
"Lelliottia amnigena"	"Lelliottia amnigena"
"Leminorella grimontii"	"Leminorella grimontii"
"Leminorella richardii"	"Leminorella richardii"
"Leptosphaeria species"	"Leptosphaeria species"
"Leptothrix mobilis"	"Leptothrix mobilis"
"Leptotrichia buccalis"	"Leptotrichia buccalis"
"Leptotrichia goodfellowii"	"Leptotrichia goodfellowii"
"Leptotrichia hofstadii"	"Leptotrichia hofstadii"
"Leptotrichia sp"	"Leptotrichia sp"
"Leptotrichia trevisanii"	"Leptotrichia trevisanii"
"Leptotrichia wadei"	"Leptotrichia wadei"
"Leucobacter chironomi"	"Leucobacter chironomi"
"Leucobacter denitrificans"	"Leucobacter denitrificans"
"Leuconostoc carnosum"	"Leuconostoc carnosum"
"Leuconostoc citreum"	"Leuconostoc citreum"
"Leuconostoc fallax"	"Leuconostoc fallax"
"Leuconostoc gelidum"	"Leuconostoc gelidum"
"Leuconostoc holzapfelii"	"Leuconostoc holzapfelii"
"Leuconostoc inhae"	"Leuconostoc inhae"
"Leuconostoc lactis"	"Leuconostoc lactis"
"Leuconostoc mesenteroides"	"Leuconostoc mesenteroides"
"Leuconostoc miyukkimchii"	"Leuconostoc miyukkimchii"
"Leuconostoc palmae"	"Leuconostoc palmae"
"Leuconostoc pseudomesenteroides"	"Leuconostoc pseudomesenteroides"
"Leuconostoc rapi"	"Leuconostoc rapi"
"Lichtheimia corymbifera"	"Lichtheimia corymbifera"
"Limnobacter thiooxidans"	"Limnobacter thiooxidans"
"Lindnera mississippiensis"	"Lindnera mississippiensis"
"Listeria aquatica"	"Listeria aquatica"
"Listeria booriae"	"Listeria booriae"
"Listeria cornellensis"	"Listeria cornellensis"
"Listeria costaricensis"	"Listeria costaricensis"
"Listeria fleischmannii"	"Listeria fleischmannii"
"Listeria floridensis"	"Listeria floridensis"
"Listeria grandensis"	"Listeria grandensis"
"Listeria grayi"	"Listeria grayi"
"Listeria innocua"	"Listeria innocua"
"Listeria ivanovii"	"Listeria ivanovii"
"Listeria monocytogenes"	"Listeria monocytogenes"
"Listeria newyorkensis"	"Listeria newyorkensis"
"Listeria riparia"	"Listeria riparia"
"Listeria rocourtiae"	"Listeria rocourtiae"
"Listeria seeligeri"	"Listeria seeligeri"
"Listeria weihenstephanensis"	"Listeria weihenstephanensis"
"Listeria welshimeri"	"Listeria welshimeri"
"Litorimonas haliclonae"	"Litorimonas haliclonae"
"Lodderomyces elongisporus"	"Lodderomyces elongisporus"
"Lomentospora prolificans"	"Lomentospora prolificans"
"Lonsdalea quercina"	"Lonsdalea quercina"
"Luteibacter rhizovicinus"	"Luteibacter rhizovicinus"
"Luteimonas aestuarii"	"Luteimonas aestuarii"
"Luteococcus japonicus"	"Luteococcus japonicus"
"Luteococcus peritonei"	"Luteococcus peritonei"
"Lysinibacillus boronitolerans"	"Lysinibacillus boronitolerans"
"Lysinibacillus contaminans"	"Lysinibacillus contaminans"
"Lysinibacillus fusiformis"	"Lysinibacillus fusiformis"
"Lysinibacillus manganicus"	"Lysinibacillus manganicus"
"Lysinibacillus massiliensis"	"Lysinibacillus massiliensis"
"Lysinibacillus meyeri"	"Lysinibacillus meyeri"
"Lysinibacillus pakistanensis"	"Lysinibacillus pakistanensis"
"Lysinibacillus sp"	"Lysinibacillus sp"
"Lysinibacillus sp[2]"	"Lysinibacillus sp"
"Lysinibacillus sphaericus"	"Lysinibacillus sphaericus"
"Lysinibacillus spp"	"Lysinibacillus sp"
"Lysinibacillus xylanilyticus"	"Lysinibacillus xylanilyticus"
"Macrococcus canis"	"Macrococcus canis"
"Macrococcus caseolyticus"	"Macrococcus caseolyticus"
"Macrococcus sp."	"Macrococcus sp"
"Malassezia furfur"	"Malassezia furfur"
"Malassezia pachydermatis"	"Malassezia pachydermatis"
"Maledivibacter halophilus"	"Maledivibacter halophilus"
"Malikia spinosa"	"Malikia spinosa"
"Mannheimia glucosida"	"Mannheimia glucosida"
"Mannheimia granulomatis"	"Mannheimia granulomatis"
"Mannheimia haemolytica"	"Mannheimia haemolytica"
"Mannheimia varigena"	"Mannheimia varigena"
"Marinilactibacillus piezotolerans"	"Marinilactibacillus piezotolerans"
"Marinilactibacillus psychrotolerans"	"Marinilactibacillus psychrotolerans"
"Marinococcus halophilus"	"Marinococcus halophilus"
"Massilia oculi"	"Massilia oculi"
"Massilia sp"	"Massilia sp"
"Massilia timonae"	"Massilia timonae"
"Massilia varians"	"Massilia varians"
"Massiliomicrobiota sp."	"Massiliomicrobiota sp"
"Megamonas sp[2]"	"Megamonas sp"
"Megasphaera cerevisiae"	"Megasphaera cerevisiae"
"Megasphaera elsdenii"	"Megasphaera elsdenii"
"Megasphaera micronuciformis"	"Megasphaera micronuciformis"
"Megasphaera sueciensis"	"Megasphaera sueciensis"
"Mesorhizobium loti"	"Mesorhizobium loti"
"Mesorhizobium spp."	"Mesorhizobium sp"
"Metakosakonia massiliensis"	"Metakosakonia massiliensis"
"Metakosakonia sp."	"Metakosakonia sp."
"Metarhizium marquandii"	"Metarhizium marquandii"
"Metarhizium species"	"Metarhizium species"
"Methanomonas methylovora"	"Methanomonas methylovora"
"Methylarcula marina"	"Methylarcula marina"
"Methylarcula terricola"	"Methylarcula terricola"
"Methylibium petroleiphilum"	"Methylibium petroleiphilum"
"Methylibium spp_Nov_MS_Type"	"Methylibium sp"
"Methylobacillus glycogenes"	"Methylobacillus glycogenes"
"Methylobacillus sp"	"Methylobacillus sp"
"Methylobacterium dankookense"	"Methylobacterium dankookense"
"Methylobacterium extorquens"	"Methylobacterium extorquens"
"Methylobacterium fujisawaense"	"Methylobacterium fujisawaense"
"Methylobacterium hispanicum"	"Methylobacterium hispanicum"
"Methylobacterium mesophilicum"	"Methylobacterium mesophilicum"
"Methylobacterium organophilum"	"Methylobacterium organophilum"
"Methylobacterium radiotolerans"	"Methylobacterium radiotolerans"
"Methylobacterium rhodesianum"	"Methylobacterium rhodesianum"
"Methylobacterium rhodinum"	"Methylobacterium rhodinum"
"Methylobacterium sp"	"Methylobacterium sp"
"Methylobacterium sp[2]"	"Methylobacterium sp"
"Methylobacterium tardum"	"Methylobacterium tardum"
"Methylobacterium zatmanii"	"Methylobacterium zatmanii"
"Metschnikowia pulcherrima"	"Metschnikowia pulcherrima"
"Metschnikowia reukaufii"	"Metschnikowia reukaufii"
"Microascus melanosporus"	"Microascus melanosporus"
"Microbacterium aerolatum"	"Microbacterium aerolatum"
"Microbacterium arborescens"	"Microbacterium arborescens"
"Microbacterium aurum"	"Microbacterium aurum"
"Microbacterium barkeri"	"Microbacterium barkeri"
"Microbacterium dextranolyticum"	"Microbacterium dextranolyticum"
"Microbacterium esteraromaticum"	"Microbacterium esteraromaticum"
"Microbacterium flavescens"	"Microbacterium flavescens"
"Microbacterium flavum"	"Microbacterium flavum"
"Microbacterium foliorum"	"Microbacterium foliorum"
"Microbacterium ginsengisoli"	"Microbacterium ginsengisoli"
"Microbacterium halotolerans"	"Microbacterium halotolerans"
"Microbacterium hominis"	"Microbacterium hominis"
"Microbacterium hydrocarbonoxydans"	"Microbacterium hydrocarbonoxydans"
"Microbacterium imperiale"	"Microbacterium imperiale"
"Microbacterium keratanolyticum"	"Microbacterium keratanolyticum"
"Microbacterium ketosireducens"	"Microbacterium ketosireducens"
"Microbacterium kitamiense"	"Microbacterium kitamiense"
"Microbacterium koreense"	"Microbacterium koreense"
"Microbacterium lacticum"	"Microbacterium lacticum"
"Microbacterium laevaniformans"	"Microbacterium laevaniformans"
"Microbacterium lemovicicum"	"Microbacterium lemovicicum"
"Microbacterium liquefaciens"	"Microbacterium liquefaciens"
"Microbacterium luteolum"	"Microbacterium luteolum"
"Microbacterium maritypicum"	"Microbacterium maritypicum"
"Microbacterium mitrae"	"Microbacterium mitrae"
"Microbacterium natoriense"	"Microbacterium natoriense"
"Microbacterium oleivorans"	"Microbacterium oleivorans"
"Microbacterium oxydans"	"Microbacterium oxydans"
"Microbacterium paludicola"	"Microbacterium paludicola"
"Microbacterium paraoxydans"	"Microbacterium paraoxydans"
"Microbacterium phyllosphaerae"	"Microbacterium phyllosphaerae"
"Microbacterium resistens"	"Microbacterium resistens"
"Microbacterium saperdae"	"Microbacterium saperdae"
"Microbacterium schleiferi"	"Microbacterium schleiferi"
"Microbacterium sp"	"Microbacterium sp"
"Microbacterium sp."	"Microbacterium sp"
"Microbacterium species"	"Microbacterium species"
"Microbacterium spp."	"Microbacterium sp"
"Microbacterium terrae"	"Microbacterium terrae"
"Microbacterium terregens"	"Microbacterium terregens"
"Microbacterium testaceum"	"Microbacterium testaceum"
"Microbacterium thalassium"	"Microbacterium thalassium"
"Microbacterium trichothecenolyticum"	"Microbacterium trichothecenolyticum"
"Microbacterium ulmi"	"Microbacterium ulmi"
"Microbacterium yannicii"	"Microbacterium yannicii"
"Micrococcus cohnii"	"Micrococcus cohnii"
"Micrococcus flavus"	"Micrococcus flavus"
"Micrococcus luteus"	"Micrococcus luteus"
"Micrococcus lylae"	"Micrococcus lylae"
"Micrococcus sp"	"Micrococcus sp"
"Micrococcus sp[3]"	"Micrococcus sp"
"Micrococcus species"	"Micrococcus species"
"Micrococcus terreus"	"Micrococcus terreus"
"Micromonospora aurantiaca"	"Micromonospora aurantiaca"
"Micromonospora carbonacea"	"Micromonospora carbonacea"
"Micromonospora chalcea"	"Micromonospora chalcea"
"Micromonospora chersina"	"Micromonospora chersina"
"Micromonospora citrea"	"Micromonospora citrea"
"Micromonospora coerulea"	"Micromonospora coerulea"
"Micromonospora echinaurantiaca"	"Micromonospora echinaurantiaca"
"Micromonospora echinofusca"	"Micromonospora echinofusca"
"Micromonospora echinospora"	"Micromonospora echinospora"
"Micromonospora inyonensis"	"Micromonospora inyonensis"
"Micromonospora peucetia"	"Micromonospora peucetia"
"Micromonospora purpureochromogenes"	"Micromonospora purpureochromogenes"
"Micromonospora sagamiensis"	"Micromonospora sagamiensis"
"Micromonospora sp"	"Micromonospora sp"
"Micromonospora viridifaciens"	"Micromonospora viridifaciens"
"Microsporum canis"	"Microsporum canis"
"Microsporum gypseum"	"Microsporum gypseum"
"Microvirga massiliensis"	"Microvirga massiliensis"
"Microvirgula aerodenitrificans"	"Microvirgula aerodenitrificans"
"Millerozyma farinosa"	"Millerozyma farinosa"
"Mitsuokella jalaludinii"	"Mitsuokella jalaludinii"
"Mixta calida"	"Mixta calida"
"Mixta gaviniae"	"Mixta gaviniae"
"Mobilicoccus pelagius"	"Mobilicoccus pelagius"
"Mobiluncus curtisii"	"Mobiluncus curtisii"
"Mobiluncus sp"	"Mobiluncus sp"
"Moellerella wisconsensis"	"Moellerella wisconsensis"
"Moesziomyces bullatus"	"Moesziomyces bullatus"
"Mogibacterium complex"	"Mogibacterium complex"
"Mogibacterium spp."	"Mogibacterium sp"
"Mogibacterium timidum"	"Mogibacterium timidum"
"Monascus ruber"	"Monascus ruber"
"Monilinia laxa"	"Monilinia laxa"
"Moorella thermoacetica"	"Moorella thermoacetica"
"Moraxella atlantae"	"Moraxella atlantae"
"Moraxella boevrei"	"Moraxella boevrei"
"Moraxella bovis"	"Moraxella bovis"
"Moraxella bovoculi"	"Moraxella bovoculi"
"Moraxella canis"	"Moraxella canis"
"Moraxella caprae"	"Moraxella caprae"
"Moraxella catarrhalis"	"Moraxella catarrhalis"
"Moraxella equi"	"Moraxella equi"
"Moraxella lacunata"	"Moraxella lacunata"
"Moraxella lincolnii"	"Moraxella lincolnii"
"Moraxella nonliquefaciens"	"Moraxella nonliquefaciens"
"Moraxella oblonga"	"Moraxella oblonga"
"Moraxella osloensis"	"Moraxella osloensis"
"Moraxella ovis"	"Moraxella ovis"
"Moraxella pluranimalium"	"Moraxella pluranimalium"
"Moraxella sp"	"Moraxella sp"
"Moraxella sp."	"Moraxella sp."
"Morganella morganii"	"Morganella morganii"
"Mortierella acrotona"	"Mortierella acrotona"
"Mortierella clonocystis"	"Mortierella clonocystis"
"Mortierella gamsii"	"Mortierella gamsii"
"Mortierella polygonia"	"Mortierella polygonia"
"Moryella indoligenes"	"Moryella indoligenes"
"mrsa ext1"	"mrsa ext1"
"mrsa ext10"	"mrsa ext10"
"mrsa ext2"	"mrsa ext2"
"mrsa ext3"	"mrsa ext3"
"mrsa ext4"	"mrsa ext4"
"mrsa ext5"	"mrsa ext5"
"mrsa ext6"	"mrsa ext6"
"mrsa ext7"	"mrsa ext7"
"mrsa ext8"	"mrsa ext8"
"mrsa ext9"	"mrsa ext9"
"MRSA plaat1"	"MRSA plaat1"
"MRSA plaat10"	"MRSA plaat10"
"MRSA plaat2"	"MRSA plaat2"
"MRSA plaat3"	"MRSA plaat3"
"MRSA plaat4"	"MRSA plaat4"
"MRSA plaat5"	"MRSA plaat5"
"MRSA plaat6"	"MRSA plaat6"
"MRSA plaat7"	"MRSA plaat7"
"MRSA plaat8"	"MRSA plaat8"
"MRSA plaat9"	"MRSA plaat9"
"mrsa1.1"	"mrsa1.1"
"mrsa1.2"	"mrsa1.2"
"mrsa10.1"	"mrsa10.1"
"mrsa10.2"	"mrsa10.2"
"mrsa2.1"	"mrsa2.1"
"mrsa2.2"	"mrsa2.2"
"mrsa3.1"	"mrsa3.1"
"mrsa3.2"	"mrsa3.2"
"mrsa4.1"	"mrsa4.1"
"mrsa4.2"	"mrsa4.2"
"mrsa5.1"	"mrsa5.1"
"mrsa5.2"	"mrsa5.2"
"mrsa6.1"	"mrsa6.1"
"mrsa6.2"	"mrsa6.2"
"mrsa7.1"	"mrsa7.1"
"mrsa7.2"	"mrsa7.2"
"mrsa8.1"	"mrsa8.1"
"mrsa8.2"	"mrsa8.2"
"mrsa9.1"	"mrsa9.1"
"mrsa9.2"	"mrsa9.2"
"Mucilaginibacter phyllosphaerae"	"Mucilaginibacter phyllosphaerae"
"Mucor circinelloides"	"Mucor circinelloides"
"Mucor genevensis"	"Mucor genevensis"
"Mucor hiemalis"	"Mucor hiemalis"
"Mucor indicus"	"Mucor indicus"
"Mucor lanceolatus"	"Mucor lanceolatus"
"Mucor moelleri"	"Mucor moelleri"
"Mucor racemosus"	"Mucor racemosus"
"Mucor species"	"Mucor species"
"Mucor velutinosus"	"Mucor velutinosus"
"Murdochiella asaccharolytica"	"Murdochiella asaccharolytica"
"Muribacter muris"	"Muribacter muris"
"Mycobacterium abscessus"	"Mycobacterium abscessus"
"Mycobacterium agri"	"Mycobacterium agri"
"Mycobacterium aichiense"	"Mycobacterium aichiense"
"Mycobacterium algericum"	"Mycobacterium algericum"
"Mycobacterium alsense"	"Mycobacterium alsense"
"Mycobacterium alvei"	"Mycobacterium alvei"
"Mycobacterium angelicum"	"Mycobacterium angelicum"
"Mycobacterium anyangense"	"Mycobacterium anyangense"
"Mycobacterium aquaticum"	"Mycobacterium aquaticum"
"Mycobacterium arabiense"	"Mycobacterium arabiense"
"Mycobacterium arcueilense"	"Mycobacterium arcueilense"
"Mycobacterium aromaticivorans"	"Mycobacterium aromaticivorans"
"Mycobacterium arosiense"	"Mycobacterium arosiense"
"Mycobacterium arupense"	"Mycobacterium arupense"
"Mycobacterium asiaticum"	"Mycobacterium asiaticum"
"Mycobacterium aubagnense"	"Mycobacterium aubagnense"
"Mycobacterium aurum"	"Mycobacterium aurum"
"Mycobacterium austroafricanum"	"Mycobacterium austroafricanum"
"Mycobacterium austroafricanum_vanbaalenii"	"Mycobacterium austroafricanum_vanbaalenii"
"Mycobacterium avium"	"Mycobacterium avium"
"Mycobacterium bacteremicum"	"Mycobacterium bacteremicum"
"Mycobacterium boenickei"	"Mycobacterium boenickei"
"Mycobacterium bohemicum"	"Mycobacterium bohemicum"
"Mycobacterium botniense"	"Mycobacterium botniense"
"Mycobacterium bourgelatii"	"Mycobacterium bourgelatii"
"Mycobacterium bovis"	"Mycobacterium bovis"
"Mycobacterium branderi"	"Mycobacterium branderi"
"Mycobacterium brisbanense"	"Mycobacterium brisbanense"
"Mycobacterium brumae"	"Mycobacterium brumae"
"Mycobacterium canariasense"	"Mycobacterium canariasense"
"Mycobacterium canariasense_cosmeticum"	"Mycobacterium canariasense_cosmeticum"
"Mycobacterium celatum"	"Mycobacterium celatum"
"Mycobacterium celeriflavum"	"Mycobacterium celeriflavum"
"Mycobacterium chelonae"	"Mycobacterium chelonae"
"Mycobacterium chimaera_intracellulare_group"	"Mycobacterium chimaera_intracellulare_group"
"Mycobacterium chitae"	"Mycobacterium chitae"
"Mycobacterium chlorophenolicum"	"Mycobacterium chlorophenolicum"
"Mycobacterium chubuense"	"Mycobacterium chubuense"
"Mycobacterium colombiense"	"Mycobacterium colombiense"
"Mycobacterium conceptionense"	"Mycobacterium conceptionense"
"Mycobacterium confluentis"	"Mycobacterium confluentis"
"Mycobacterium conspicuum"	"Mycobacterium conspicuum"
"Mycobacterium cookii"	"Mycobacterium cookii"
"Mycobacterium cosmeticum"	"Mycobacterium cosmeticum"
"Mycobacterium crocinum"	"Mycobacterium crocinum"
"Mycobacterium diernhoferi"	"Mycobacterium diernhoferi"
"Mycobacterium doricum"	"Mycobacterium doricum"
"Mycobacterium duvalii"	"Mycobacterium duvalii"
"Mycobacterium eburneum_talmoniae_group"	"Mycobacterium eburneum_talmoniae_group"
"Mycobacterium elephantis"	"Mycobacterium elephantis"
"Mycobacterium engbaekii"	"Mycobacterium engbaekii"
"Mycobacterium europaeum"	"Mycobacterium europaeum"
"Mycobacterium fallax"	"Mycobacterium fallax"
"Mycobacterium farcinogenes"	"Mycobacterium farcinogenes"
"Mycobacterium flavescens"	"Mycobacterium flavescens"
"Mycobacterium florentinum"	"Mycobacterium florentinum"
"Mycobacterium fluoranthenivorans"	"Mycobacterium fluoranthenivorans"
"Mycobacterium fortuitum"	"Mycobacterium fortuitum"
"Mycobacterium fortuitum_complex"	"Mycobacterium fortuitum_complex"
"Mycobacterium fragae"	"Mycobacterium fragae"
"Mycobacterium franklinii"	"Mycobacterium franklinii"
"Mycobacterium frederiksbergense"	"Mycobacterium frederiksbergense"
"Mycobacterium gadium"	"Mycobacterium gadium"
"Mycobacterium gastri"	"Mycobacterium gastri"
"Mycobacterium genavense"	"Mycobacterium genavense"
"Mycobacterium gilvum"	"Mycobacterium gilvum"
"Mycobacterium goodii"	"Mycobacterium goodii"
"Mycobacterium gordonae"	"Mycobacterium gordonae"
"Mycobacterium grossiae"	"Mycobacterium grossiae"
"Mycobacterium haemophilum"	"Mycobacterium haemophilum"
"Mycobacterium hassiacum"	"Mycobacterium hassiacum"
"Mycobacterium heckeshornense"	"Mycobacterium heckeshornense"
"Mycobacterium heidelbergense"	"Mycobacterium heidelbergense"
"Mycobacterium helvum"	"Mycobacterium helvum"
"Mycobacterium heraklionense"	"Mycobacterium heraklionense"
"Mycobacterium hiberniae"	"Mycobacterium hiberniae"
"Mycobacterium hippocampi"	"Mycobacterium hippocampi"
"Mycobacterium hodleri"	"Mycobacterium hodleri"
"Mycobacterium holsaticum"	"Mycobacterium holsaticum"
"Mycobacterium houstonense"	"Mycobacterium houstonense"
"Mycobacterium immunogenum"	"Mycobacterium immunogenum"
"Mycobacterium insubricum"	"Mycobacterium insubricum"
"Mycobacterium interjectum"	"Mycobacterium interjectum"
"Mycobacterium intermedium"	"Mycobacterium intermedium"
"Mycobacterium iranicum"	"Mycobacterium iranicum"
"Mycobacterium kansasii"	"Mycobacterium kansasii"
"Mycobacterium kansasii_complex"	"Mycobacterium kansasii_complex"
"Mycobacterium komossense"	"Mycobacterium komossense"
"Mycobacterium koreense"	"Mycobacterium koreense"
"Mycobacterium kubicae"	"Mycobacterium kubicae"
"Mycobacterium kumamotonense"	"Mycobacterium kumamotonense"
"Mycobacterium kyorinense"	"Mycobacterium kyorinense"
"Mycobacterium lacus"	"Mycobacterium lacus"
"Mycobacterium lehmannii"	"Mycobacterium lehmannii"
"Mycobacterium lentiflavum"	"Mycobacterium lentiflavum"
"Mycobacterium litorale"	"Mycobacterium litorale"
"Mycobacterium llatzerense"	"Mycobacterium llatzerense"
"Mycobacterium longobardum"	"Mycobacterium longobardum"
"Mycobacterium lutetiense"	"Mycobacterium lutetiense"
"Mycobacterium madagascariense"	"Mycobacterium madagascariense"
"Mycobacterium mageritense"	"Mycobacterium mageritense"
"Mycobacterium malmoense"	"Mycobacterium malmoense"
"Mycobacterium mantenii"	"Mycobacterium mantenii"
"Mycobacterium marinum"	"Mycobacterium marinum"
"Mycobacterium marseillense"	"Mycobacterium marseillense"
"Mycobacterium minnesotense"	"Mycobacterium minnesotense"
"Mycobacterium monacense"	"Mycobacterium monacense"
"Mycobacterium montefiorense"	"Mycobacterium montefiorense"
"Mycobacterium montmartrense"	"Mycobacterium montmartrense"
"Mycobacterium moriokaense"	"Mycobacterium moriokaense"
"Mycobacterium mucogenicum"	"Mycobacterium mucogenicum"
"Mycobacterium mucogenicum_phocaicum_group"	"Mycobacterium mucogenicum_phocaicum_group"
"Mycobacterium murale"	"Mycobacterium murale"
"Mycobacterium murale_tokaiense"	"Mycobacterium murale_tokaiense"
"Mycobacterium nebraskense"	"Mycobacterium nebraskense"
"Mycobacterium neoaurum"	"Mycobacterium neoaurum"
"Mycobacterium neumannii"	"Mycobacterium neumannii"
"Mycobacterium neworleansense"	"Mycobacterium neworleansense"
"Mycobacterium nonchromogenicum"	"Mycobacterium nonchromogenicum"
"Mycobacterium noviomagense"	"Mycobacterium noviomagense"
"Mycobacterium novocastrense"	"Mycobacterium novocastrense"
"Mycobacterium obuense"	"Mycobacterium obuense"
"Mycobacterium pallens"	"Mycobacterium pallens"
"Mycobacterium palustre"	"Mycobacterium palustre"
"Mycobacterium paraense"	"Mycobacterium paraense"
"Mycobacterium paraffinicum"	"Mycobacterium paraffinicum"
"Mycobacterium parafortuitum"	"Mycobacterium parafortuitum"
"Mycobacterium paragordonae"	"Mycobacterium paragordonae"
"Mycobacterium parakoreense"	"Mycobacterium parakoreense"
"Mycobacterium parascrofulaceum"	"Mycobacterium parascrofulaceum"
"Mycobacterium paraseoulense"	"Mycobacterium paraseoulense"
"Mycobacterium paraterrae"	"Mycobacterium paraterrae"
"Mycobacterium parmense"	"Mycobacterium parmense"
"Mycobacterium peregrinum"	"Mycobacterium peregrinum"
"Mycobacterium phlei"	"Mycobacterium phlei"
"Mycobacterium porcinum"	"Mycobacterium porcinum"
"Mycobacterium poriferae"	"Mycobacterium poriferae"
"Mycobacterium pseudoshottsii"	"Mycobacterium pseudoshottsii"
"Mycobacterium psychrotolerans"	"Mycobacterium psychrotolerans"
"Mycobacterium pulveris"	"Mycobacterium pulveris"
