"naam"	"naam_clean"
"Alistipes senegalensis"	"Alistipes senegalensis"
"Alistipes shahii"	"Alistipes shahii"
"Alkalibacillus haloalkaliphilus"	"Alkalibacillus haloalkaliphilus"
"Allisonella histaminiformans"	"Allisonella histaminiformans"
"Alloiococcus otitis"	"Alloiococcus otitis"
"Alloprevotella rava"	"Alloprevotella rava"
"Alloprevotella tannerae"	"Alloprevotella tannerae"
"Alloscardovia omnicolens"	"Alloscardovia omnicolens"
"Alternaria alternata"	"Alternaria alternata"
"Alternaria species"	"Alternaria species"
"Amycolatopsis alba"	"Amycolatopsis alba"
"Amycolatopsis azurea"	"Amycolatopsis azurea"
"Amycolatopsis balhimycina"	"Amycolatopsis balhimycina"
"Amycolatopsis coloradensis"	"Amycolatopsis coloradensis"
"Amycolatopsis japonica"	"Amycolatopsis japonica"
"Amycolatopsis kentuckyensis"	"Amycolatopsis kentuckyensis"
"Amycolatopsis keratiniphila"	"Amycolatopsis keratiniphila"
"Amycolatopsis lexingtonensis"	"Amycolatopsis lexingtonensis"
"Amycolatopsis lurida"	"Amycolatopsis lurida"
"Amycolatopsis mediterranei"	"Amycolatopsis mediterranei"
"Amycolatopsis minnesotensis"	"Amycolatopsis minnesotensis"
"Amycolatopsis pretoriensis"	"Amycolatopsis pretoriensis"
"Amycolatopsis sulphurea"	"Amycolatopsis sulphurea"
"Amycolatopsis tolypomycina"	"Amycolatopsis tolypomycina"
"Anaerobiospirillum succiniciproducens"	"Anaerobiospirillum succiniciproducens"
"Anaerococcus degeneri"	"Anaerococcus degeneri"
"Anaerococcus hydrogenalis"	"Anaerococcus hydrogenalis"
"Anaerococcus lactolyticus"	"Anaerococcus lactolyticus"
"Anaerococcus murdochii"	"Anaerococcus murdochii"
"Anaerococcus nagyae"	"Anaerococcus nagyae"
"Anaerococcus octavius"	"Anaerococcus octavius"
"Anaerococcus prevotii"	"Anaerococcus prevotii"
"Anaerococcus sp"	"Anaerococcus sp"
"Anaerococcus tetradius"	"Anaerococcus tetradius"
"Anaerococcus vaginalis"	"Anaerococcus vaginalis"
"Anaerocolumna jejuensis"	"Anaerocolumna jejuensis"
"Anaerocolumna xylanovorans"	"Anaerocolumna xylanovorans"
"Anaerosalibacter bizertensis"	"Anaerosalibacter bizertensis"
"Anaerosalibacter massiliensis"	"Anaerosalibacter massiliensis"
"Anaerotignum lactatifermentans"	"Anaerotignum lactatifermentans"
"Anaerotignum propionicum"	"Anaerotignum propionicum"
"Anaerotruncus colihominis"	"Anaerotruncus colihominis"
"Aneurinibacillus aneurinilyticus"	"Aneurinibacillus aneurinilyticus"
"Aneurinibacillus migulanus"	"Aneurinibacillus migulanus"
"Aneurinibacillus thermoaerophilus"	"Aneurinibacillus thermoaerophilus"
"Anoxybacillus flavithermus"	"Anoxybacillus flavithermus"
"Aquabacterium citratiphilum"	"Aquabacterium citratiphilum"
"Aquabacterium commune"	"Aquabacterium commune"
"Aquabacterium limnoticum"	"Aquabacterium limnoticum"
"Aquabacterium parvum"	"Aquabacterium parvum"
"Aquabacterium spp"	"Aquabacterium sp"
"Aquamicrobium lusatiense"	"Aquamicrobium lusatiense"
"Aquincola tertiaricarbonis"	"Aquincola tertiaricarbonis"
"Arcanobacterium canis"	"Arcanobacterium canis"
"Arcanobacterium haemolyticum"	"Arcanobacterium haemolyticum"
"Arcanobacterium hippocoleae"	"Arcanobacterium hippocoleae"
"Arcanobacterium phocae"	"Arcanobacterium phocae"
"Arcanobacterium phocisimile"	"Arcanobacterium phocisimile"
"Arcanobacterium pinnipediorum"	"Arcanobacterium pinnipediorum"
"Arcanobacterium pluranimalium"	"Arcanobacterium pluranimalium"
"Arcanobacterium sp."	"Arcanobacterium sp."
"Arcobacter butzleri"	"Arcobacter butzleri"
"Arcobacter cibarius"	"Arcobacter cibarius"
"Arcobacter cryaerophilus"	"Arcobacter cryaerophilus"
"Arcobacter halophilus"	"Arcobacter halophilus"
"Arcobacter nitrofigilis"	"Arcobacter nitrofigilis"
"Arcobacter skirrowii"	"Arcobacter skirrowii"
"Arcobacter suis"	"Arcobacter suis"
"Aromatoleum alkani"	"Aromatoleum alkani"
"Aromatoleum anaerobicus"	"Aromatoleum anaerobicus"
"Aromatoleum aromaticum"	"Aromatoleum aromaticum"
"Aromatoleum bremensis"	"Aromatoleum bremensis"
"Aromatoleum buckelii"	"Aromatoleum buckelii"
"Aromatoleum diolicum"	"Aromatoleum diolicum"
"Aromatoleum evansii"	"Aromatoleum evansii"
"Aromatoleum pretroleum"	"Aromatoleum pretroleum"
"Aromatoleum terpenicum"	"Aromatoleum terpenicum"
"Aromatoleum tolulyticus"	"Aromatoleum tolulyticus"
"Aromatoleum toluolicum"	"Aromatoleum toluolicum"
"Aromatoleum toluvorans"	"Aromatoleum toluvorans"
"Arsenicicoccus bolidensis"	"Arsenicicoccus bolidensis"
"Arsenicicoccus dermatophilus"	"Arsenicicoccus dermatophilus"
"Arsenophonus nasoniae"	"Arsenophonus nasoniae"
"Arthrinium arundinis"	"Arthrinium arundinis"
"Arthrinium phaeospermum"	"Arthrinium phaeospermum"
"Arthrinium species"	"Arthrinium species"
