"organism";"status";"record_no";"record_lnk";"link";"Current Name";"mnemonic";"Name";"Type";"Description:NL";"Aerobe";"ShortName";"parent.mnemonic";"InternalComment";"ExternalComment";"AntibiogramProperty.Mnemonic";"DefaultAppraisal.Mnemonic";"AutoReportable";"AutoAntibiogram";"DataSheet";"BillingMark";"ReportOfficially";"Disabled";"IsGroup";"TaxonomicGroup";"MaxIntervalDouble";"MaxDifferenceDouble";"MaxTotalDifference";"NosocomialInterval";"InfectionLagBeforeEnc";"CrossInfNeedsATB";"DefaultArchive.Mnemonic";"SeverityFormula.Description";"EntryTrigger.Description";"ConfirmationTrigger.Description";"ValidationTrigger.Description";"AntibiogramConfirm.Description";"DiscriminatorFunction.Description";"~MO_Description";"~RapGroupAB";"~_CrossInfNeedsATB";"~EUCAST_group"
"Nocardia thailandica";"VL; sp. nov.; correct name";778798;;;;"nocaratha";"Nocardia thailandica";"Germ";"Nocardia thailandica";"yes";"Nocardia thailandica";"nocaraspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Nocardia transvalensis";"AL; sp. nov.; correct name";778800;;;;"nocaratra";"Nocardia transvalensis";"Germ";"Nocardia transvalensis";"yes";"Nocardia transvalensis";"nocaraspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Nocardia vermiculata";"VL; sp. nov.; correct name";778805;;;;"nocaraver";"Nocardia vermiculata";"Germ";"Nocardia vermiculata";"yes";"Nocardia vermiculata";"nocaraspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Nocardia veterana";"VP; sp. nov.; correct name";778806;;;;"nocaravet";"Nocardia veterana";"Germ";"Nocardia veterana";"yes";"Nocardia veterana";"nocaraspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Nocardia yamanashiensis";"VP; sp. nov.; correct name";778809;;;;"nocarayam";"Nocardia yamanashiensis";"Germ";"Nocardia yamanashiensis";"yes";"Nocardia yamanashiensis";"nocaraspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Nocardioides jensenii";"VP; comb. nov.; correct name";778823;;;;"nocarsjen";"Nocardioides jensenii";"Germ";"Nocardioides jensenii";"yes";"Nocardioides jensenii";"nocarsspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Nocardioides simplex";"VL; comb. nov.; correct name";778832;;;;"nocarssim";"Nocardioides simplex";"Germ";"Nocardioides simplex";"yes";"Nocardioides simplex";"pimelrspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Nocardioides species";"AL; gen. nov.; correct name";516183;;;;"nocarsspe";"Nocardioides species";"Germ";"Nocardioides species";"yes";"Nocardioides species";"gramposstaaf";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Nocardiopsis alba";"VP; sp. nov.; correct name";778836;;;;"nocarpalb";"Nocardiopsis alba";"Germ";"Nocardiopsis alba";"yes";"Nocardiopsis alba";"nocarpspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Nocardiopsis species";"AL; gen. nov.; correct name";516184;;;;"nocarpspe";"Nocardiopsis species";"Germ";"Nocardiopsis species";"yes";"Nocardiopsis species";"gramposstaaf";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"NULL";"NULL";"NULL";"NULL";;;"nordeaoli";"Nordella oligomobilis";"Germ";"Nordella oligomobilis";"?";"Nordella oligomobilis";"nordeaspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"NULL";"NULL";"NULL";"NULL";;;"nordeaspe";"Nordella species";"Germ";"Nordella species";"?";"Nordella species";"gramnegstaaf";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"NULL";"NULL";"NULL";"NULL";;;"norovirus";"norovirus";"Virus";"norovirus";"?";"norovirus";"virus";"?";"?";"?";"?";"Yes";"no";"?";"?";"yes";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Novosphingobium aromaticivorans";"VP; comb. nov.; correct name";778912;;;;"novosmaro";"Novosphingobium aromaticivorans";"Germ";"Novosphingobium aromaticivorans";"?";"Novosphingobium aromaticivorans";"sphinsspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Novosphingobium hassiacum";"VL; sp. nov.; correct name";778914;;;;"novosmhas";"Novosphingobium hassiacum";"Germ";"Novosphingobium hassiacum";"?";"Novosphingobium hassiacum";"novosmspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Novosphingobium lentum";"VP; sp. nov.; correct name";778915;;;;"novosmlen";"Novosphingobium lentum";"Germ";"Novosphingobium lentum";"?";"Novosphingobium lentum";"novosmspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Novosphingobium naphthalenivorans";"VL; sp. nov.; correct name";787250;;;;"novosmnap";"Novosphingobium naphthalenivorans";"Germ";"Novosphingobium naphthalenivorans";"?";"Novosphingobium naphthalenivorans";"novosmspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Novosphingobium nitrogenifigens";"VP; sp. nov.; correct name";786911;;;;"novosmnit";"Novosphingobium nitrogenifigens";"Germ";"Novosphingobium nitrogenifigens";"?";"Novosphingobium nitrogenifigens";"novosmspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Novosphingobium pentaromativorans";"VP; sp. nov.; correct name";778916;;;;"novosmpen";"Novosphingobium pentaromativorans";"Germ";"Novosphingobium pentaromativorans";"?";"Novosphingobium pentaromativorans";"novosmspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Novosphingobium resinovorum";"VP; comb. nov.; correct name";786593;;;;"novosmres";"Novosphingobium resinovorum";"Germ";"Novosphingobium resinovorum";"?";"Novosphingobium resinovorum";"novosmspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Novosphingobium rosa";"VP; comb. nov.; correct name";778917;;;;"novosmros";"Novosphingobium rosa";"Germ";"Novosphingobium rosa";"?";"Novosphingobium rosa";"novosmspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Novosphingobium sediminicola";"VP; sp. nov.; correct name";789505;;;;"novosmsed";"Novosphingobium sediminicola";"Germ";"Novosphingobium sediminicola";"?";"Novosphingobium sediminicola";"novosmspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Novosphingobium species";"VP; gen. nov.; correct name";516188;;;;"novosmspe";"Novosphingobium species";"Germ";"Novosphingobium species";"?";"Novosphingobium species";"gramnegstaaf";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Novosphingobium stygium";"VP; comb. nov.; correct name";778918;;;;"novosmsty";"Novosphingobium stygium";"Germ";"Novosphingobium stygium";"?";"Novosphingobium stygium";"novosmspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Novosphingobium subterraneum";"VP; comb. nov.; correct name";778920;;;;"novosmsub";"Novosphingobium subterraneum";"Germ";"Novosphingobium subterraneum";"?";"Novosphingobium subterraneum";"novosmspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Novosphingobium taihuense";"VP; sp. nov.; correct name";778921;;;;"novosmtai";"Novosphingobium taihuense";"Germ";"Novosphingobium taihuense";"?";"Novosphingobium taihuense";"novosmspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Sphingopyxis baekryungensis";"VP; sp. nov.; synonym";781046;5959;5959;"Novosphingopyxis baekryungensis ";"novossbae";"Novosphingopyxis baekryungensis ";"Germ";"Novosphingopyxis baekryungensis ";"?";"Novosphingopyxis baekryungensis ";"novossspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
;;;;;;"novossspe";"Novosphingopyxis species";"Germ";"Novosphingopyxis species";"?";"Novosphingopyxis species";"gramnegstaaf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Oceanobacillus caeni";"VP; sp. nov.; correct name";787343;;;;"oceanscae";"Oceanobacillus caeni";"Germ";"Oceanobacillus caeni";"?";"Oceanobacillus caeni";"oceansspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Oceanobacillus iheyensis";"VL; sp. nov.; correct name";778937;;;;"oceansihe";"Oceanobacillus iheyensis";"Germ";"Oceanobacillus iheyensis";"?";"Oceanobacillus iheyensis";"oceansspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Oceanobacillus kapialis";"VP; sp. nov.; correct name";788077;;;;"oceanskap";"Oceanobacillus kapialis";"Germ";"Oceanobacillus kapialis";"?";"Oceanobacillus kapialis";"oceansspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Oceanobacillus neutriphilus";"VP; sp. nov.; correct name";788792;;;;"oceansneu";"Oceanobacillus neutriphilus";"Germ";"Oceanobacillus neutriphilus";"?";"Oceanobacillus neutriphilus";"oceansspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Oceanobacillus profundus";"VP; sp. nov.; correct name";785927;;;;"oceanspro";"Oceanobacillus profundus";"Germ";"Oceanobacillus profundus";"?";"Oceanobacillus profundus";"oceansspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Oceanobacillus sojae";"VL; sp. nov.; correct name";788158;;;;"oceanssoj";"Oceanobacillus sojae";"Germ";"Oceanobacillus sojae";"?";"Oceanobacillus sojae";"oceansspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Oceanobacillus species";"VL; gen. nov.; correct name";516196;;;;"oceansspe";"Oceanobacillus species";"Germ";"Oceanobacillus species";"?";"Oceanobacillus species";"gramposstaaf";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Odoribacter species";"VP; gen. nov.; correct name";517748;;;;"odorirspe";"Odoribacter species";"Germ";"Odoribacter species";"?";"Odoribacter species";"gramnegstaaf";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Odoribacter splanchnicus";"VP; comb. nov.; correct name";787189;;;;"odorirspl";"Odoribacter splanchnicus";"Germ";"Odoribacter splanchnicus";"?";"Odoribacter splanchnicus";"odorirspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"NULL";"NULL";"NULL";"NULL";;;"ogataamet";"Ogataea methylivora";"Germ";"Ogataea methylivora (Pichia methylivora)";"yes";"Ogataea methylivora";"ogataaspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"NULL";"NULL";"NULL";"NULL";;;"ogataapol";"Ogataea polymorpha";"Germ";"Ogataea polymorpha (Candida thermophila)";"yes";"Ogataea polymorpha";"ogataaspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"NULL";"NULL";"NULL";"NULL";;;"ogataaspe";"Ogataea species";"Germ";"Ogataea species";"yes";"Ogataea species";"schimmel";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"NULL";"NULL";"NULL";"NULL";;;"ogataathe";"Ogataea thermophila";"Germ";"Ogataea thermophila";"yes";"Ogataea thermophila";"ogataaspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Oligella species";"VP; gen. nov.; correct name";516211;;;;"oligeaspe";"Oligella species";"Germ";"Oligella species";"yes";"Oligella species";"alicalefam";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Oligella ureolytica";"VP; sp. nov.; correct name";778979;;;;"oligeaureo";"Oligella ureolytica";"Germ";"Oligella ureolytica";"yes";"Oligella ureolytica";"oligeaspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Oligella urethralis";"VP; comb. nov.; correct name";778980;;;;"oligeauret";"Oligella urethralis";"Germ";"Oligella urethralis";"yes";"Oligella urethralis";"oligeaspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Olsenella profusa";"VP; sp. nov.; correct name";778985;;;;"olsenapro";"Olsenella profusa";"Germ";"Olsenella profusa";"no";"Olsenella profusa";"olsenaspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Olsenella species";"VP; gen. nov.; correct name";516216;;;;"olsenaspe";"Olsenella species";"Germ";"Olsenella species";"no";"Olsenella species";"gramposstaaf";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Olsenella uli";"VP; comb. nov.; correct name";778986;;;;"olsenauli";"Olsenella uli";"Germ";"Olsenella uli";"no";"Olsenella uli";"olsenaspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Ornithobacterium rhinotracheale";"VP; sp. nov.; correct name";779013;;;;"ornitmrhi";"Ornithobacterium rhinotracheale";"Germ";"Ornithobacterium rhinotracheale";"?";"Ornithobacterium rhinotracheale";"ornitmspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Ornithobacterium species";"VP; gen. nov.; correct name";516228;;;;"ornitmspe";"Ornithobacterium species";"Germ";"Ornithobacterium species";"?";"Ornithobacterium species";"gramnegstaaf";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"NULL";"NULL";"NULL";"NULL";;;"paecisspe";"Paecilomyces species";"Germ";"Paecilomyces species";"yes";"Paecilomyces species";"schimmel";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"NULL";"NULL";"NULL";"NULL";;;"paecisvar";"Paecilomyces variotii";"Germ";"Paecilomyces variotii";"yes";"Paecilomyces variotii";"paecisspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Paenarthrobacter species";;518963;;;;"paenarspe";"Paenarthrobacter species";"Germ";"Paenarthrobacter (Arthrobacter) species";"yes";"Paenarthrobacter species";"gramposstaaf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Arthrobacter aurescens";"AL; sp. nov.; synonym";794229;;;"Paenarthrobacter aurescens ";"paenaraur";"Paenarthrobacter aurescens ";"Germ";"Paenarthrobacter (Artrhobacter) aurescens ";"yes";"Paenarthrobacter aurescens ";"paenarspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Arthrobacter histidinolovorans";"AL; sp. nov.; synonym";794230;;;"Paenarthrobacter histidinolovorans ";"paenarhis";"Paenarthrobacter histidinolovorans ";"Germ";"Paenarthrobacter (Artrhobacter) histidinolovorans ";"yes";"Paenarthrobacter histidinolovorans ";"paenarspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Arthrobacter ilicis";"VL; sp. nov.; synonym";794231;;;"Paenarthrobacter ilicis ";"paenarili";"Paenarthrobacter ilicis ";"Germ";"Paenarthrobacter (Artrhobacter) ilicis ";"yes";"Paenarthrobacter ilicis ";"paenarspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Arthrobacter nicotinovorans";"VP; sp. nov.; synonym";794232;;;"Paenarthrobacter nicotinovorans ";"paenarmic";"Paenarthrobacter nicotinovorans ";"Germ";"Paenarthrobacter (Artrhobacter) nicotinovorans ";"yes";"Paenarthrobacter nicotinovorans ";"paenarspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Arthrobacter nitroguajacolicus";"VP; sp. nov.; synonym";794233;;;"Paenarthrobacter nitroguajacolicus ";"paenarnit";"Paenarthrobacter nitroguajacolicus ";"Germ";"Paenarthrobacter (Artrhobacter) nitroguajacolicus ";"yes";"Paenarthrobacter nitroguajacolicus ";"paenarspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Arthrobacter ureafaciens";"AL; comb. nov.; synonym";794234;;;"Paenarthrobacter ureafaciens ";"paenarure";"Paenarthrobacter ureafaciens ";"Germ";"Paenarthrobacter (Artrhobacter) ureafaciens ";"yes";"Paenarthrobacter ureafaciens ";"paenarspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Paenibacillus agarexedens";"VP; sp. nov., nom. rev.; correct name";779040;;;;"paenisaga";"Paenibacillus agarexedens";"Germ";"Paenibacillus agarexedens";"yes";"Paenibacillus agarexedens";"paenisspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Paenibacillus agaridevorans";"VP; sp. nov.; correct name";779041;;;;"paenisagai";"Paenibacillus agaridevorans";"Germ";"Paenibacillus agaridevorans";"yes";"Paenibacillus agaridevorans";"paenisspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Paenibacillus alginolyticus";"VP; comb. nov.; correct name";779042;;;;"paenisalg";"Paenibacillus alginolyticus";"Germ";"Paenibacillus alginolyticus";"yes";"Paenibacillus alginolyticus";"paenisspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Paenibacillus alvei";"VL; comb. nov.; correct name";779044;;;;"paenisalv";"Paenibacillus alvei";"Germ";"Paenibacillus alvei";"yes";"Paenibacillus alvei";"paenisspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Paenibacillus amylolyticus";"VL; comb. nov.; correct name";779045;;;;"paenisamy";"Paenibacillus amylolyticus";"Germ";"Paenibacillus amylolyticus";"yes";"Paenibacillus amylolyticus";"paenisspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Paenibacillus anaericanus";"VP; sp. nov.; correct name";779046;;;;"paenisana";"Paenibacillus anaericanus";"Germ";"Paenibacillus anaericanus";"yes";"Paenibacillus anaericanus";"paenisspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Paenibacillus apiarius";"VP; sp. nov., nom. rev.; correct name";779047;;;;"paenisapi";"Paenibacillus apiarius";"Germ";"Paenibacillus apiarius";"yes";"Paenibacillus apiarius";"paenisspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Paenibacillus assamensis";"VP; sp. nov.; correct name";779048;;;;"paenisass";"Paenibacillus assamensis";"Germ";"Paenibacillus assamensis";"yes";"Paenibacillus assamensis";"paenisspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Paenibacillus azoreducens";"VP; sp. nov.; correct name";779049;;;;"paenisazo";"Paenibacillus azoreducens";"Germ";"Paenibacillus azoreducens";"yes";"Paenibacillus azoreducens";"paenisspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Paenibacillus barcinonensis";"VP; sp. nov.; correct name";779052;;;;"paenisbar";"Paenibacillus barcinonensis";"Germ";"Paenibacillus barcinonensis";"yes";"Paenibacillus barcinonensis";"paenisspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Paenibacillus barengoltzii";"VP; sp. nov.; correct name";784550;;;;"paenisbare";"Paenibacillus barengoltzii";"Germ";"Paenibacillus barengoltzii";"yes";"Paenibacillus barengoltzii";"paenisspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Paenibacillus borealis";"VP; sp. nov.; correct name";779053;;;;"paenisbor";"Paenibacillus borealis";"Germ";"Paenibacillus borealis";"yes";"Paenibacillus borealis";"paenisspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Paenibacillus brasilensis";"VP; sp. nov.; correct name";779054;;;;"paenisbra";"Paenibacillus brasilensis";"Germ";"Paenibacillus brasilensis";"yes";"Paenibacillus brasilensis";"paenisspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
